City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.7911,-50.0119,11.88,76,7,0.43,BR,1657671233
bud,39.447,-86.1758,28.01,56,0,3.45,US,1657671233
albany,42.6001,-73.9662,26.49,68,19,0.45,US,1657671014
thompson,55.7435,-97.8558,25.7,22,25,0.7,CA,1657671233
bandarbeyla,9.4942,50.8122,25.81,70,88,12.0,SO,1657671234
new norfolk,-42.7826,147.0587,8.29,84,56,1.2,AU,1657671234
kapaa,22.0752,-159.319,29.18,70,20,7.2,US,1657671234
omboue,-1.5746,9.2618,21.12,91,36,2.67,GA,1657671234
ribeira grande,38.5167,-28.7,21.31,91,76,3.99,PT,1657671234
suba,10.8438,121.0102,27.89,77,100,3.4,PH,1657671234
luderitz,-26.6481,15.1594,13.48,64,0,6.29,NA,1657671234
magistralnyy,56.1725,107.4458,14.56,91,98,1.37,RU,1657671235
hermanus,-34.4187,19.2345,11.43,82,1,3.65,ZA,1657671235
qaanaaq,77.484,-69.3632,5.13,75,87,2.27,GL,1657671235
aguimes,27.9054,-15.4461,20.35,68,20,9.26,ES,1657671235
leningradskiy,69.3833,178.4167,3.67,95,100,2.7,RU,1657671235
norman wells,65.282,-126.8329,16.05,77,53,5.87,CA,1657671235
takapau,-40.0333,176.35,14.85,68,4,8.27,NZ,1657671235
lavrentiya,65.5833,-171.0,11.16,74,98,3.11,RU,1657671000
yellowknife,62.456,-114.3525,20.78,48,80,7.21,CA,1657671014
victoria,22.2855,114.1577,31.29,78,16,2.68,HK,1657671018
butaritari,3.0707,172.7902,28.05,71,81,8.44,KI,1657671154
lagoa,39.05,-27.9833,20.65,92,38,4.45,PT,1657671235
muli,2.9167,73.5667,27.3,75,60,3.0,MV,1657671236
bluff,-46.6,168.3333,7.11,92,100,9.91,NZ,1657671236
vaini,-21.2,-175.2,24.82,74,78,6.81,TO,1657671236
ispica,36.7844,14.9063,23.43,54,0,1.14,IT,1657671236
atar,20.5169,-13.0499,34.92,21,46,3.33,MR,1657671236
birao,10.2849,22.7882,22.23,90,85,1.52,CF,1657671236
georgetown,5.4112,100.3354,24.97,94,40,0.0,MY,1657671129
barrow,71.2906,-156.7887,4.01,87,100,4.63,US,1657671155
geraldton,-28.7667,114.6,12.23,76,13,3.6,AU,1657671236
mataura,-46.1927,168.8643,6.93,98,100,3.03,NZ,1657671139
hami,42.8,93.45,27.83,24,95,2.75,CN,1657671237
punta arenas,-53.15,-70.9167,3.06,93,100,5.66,CL,1657671237
jalingo,8.8833,11.3667,23.42,93,88,1.66,NG,1657671108
atuona,-9.8,-139.0333,25.42,77,27,8.53,PF,1657671237
taoudenni,22.6783,-3.9836,38.25,15,76,2.97,ML,1657671237
rikitea,-23.1203,-134.9692,23.92,76,9,6.02,PF,1657671138
tiksi,71.6872,128.8694,2.11,95,100,3.98,RU,1657671237
muswellbrook,-32.2667,150.9,11.25,82,77,3.67,AU,1657671237
ushuaia,-54.8,-68.3,3.81,81,75,4.63,AR,1657671004
ostrovnoy,68.0531,39.5131,13.5,99,98,1.78,RU,1657671237
pangnirtung,66.1451,-65.7125,8.3,94,100,1.36,CA,1657671238
zhigansk,66.7697,123.3711,17.46,76,63,2.9,RU,1657671238
gat,31.61,34.7642,24.38,100,0,0.76,IL,1657671238
port alfred,-33.5906,26.891,13.94,67,0,4.19,ZA,1657671152
port elizabeth,-33.918,25.5701,13.0,59,0,3.82,ZA,1657671086
mount gambier,-37.8333,140.7667,9.31,83,21,1.36,AU,1657671238
edd,13.9297,41.6925,32.17,59,99,2.09,ER,1657671238
shimoda,34.6667,138.95,23.95,85,89,0.48,JP,1657671239
narsaq,60.9167,-46.05,10.12,81,15,1.41,GL,1657671141
itoman,26.1247,127.6694,32.43,81,20,3.6,JP,1657671239
katsuura,35.1333,140.3,24.48,91,92,2.97,JP,1657670964
cidreira,-30.1811,-50.2056,11.66,69,96,4.21,BR,1657671239
busselton,-33.65,115.3333,11.9,86,15,3.9,AU,1657671239
coquimbo,-29.9533,-71.3436,12.85,87,0,0.51,CL,1657671239
chuy,-33.6971,-53.4616,5.46,81,23,2.35,UY,1657671239
sao joao da barra,-21.6403,-41.0511,22.71,84,90,9.33,BR,1657671239
nioro,13.35,-15.75,27.4,82,77,3.49,GM,1657671239
thinadhoo,0.5333,72.9333,28.09,74,47,3.99,MV,1657671239
bredasdorp,-34.5322,20.0403,8.54,90,0,2.4,ZA,1657671239
tual,-5.6667,132.75,25.88,85,100,9.09,ID,1657671240
provideniya,64.3833,-173.3,12.06,76,0,5.0,RU,1657671240
arraial do cabo,-22.9661,-42.0278,22.13,83,92,9.36,BR,1657671138
hilo,19.7297,-155.09,30.71,76,75,4.63,US,1657671141
la paz,-16.5,-68.15,6.99,70,40,3.6,BO,1657671015
puerto ayora,-0.7393,-90.3518,21.42,87,28,2.24,EC,1657671002
praia da vitoria,38.7333,-27.0667,23.2,82,57,4.75,PT,1657671240
kruisfontein,-34.0033,24.7314,10.52,54,0,3.11,ZA,1657671240
saint george,37.1041,-113.5841,42.46,14,0,3.09,US,1657671240
daru,-9.0763,143.2092,26.19,79,70,5.95,PG,1657670964
mehamn,71.0357,27.8492,18.97,63,69,7.2,NO,1657671240
mecca,21.4267,39.8261,32.41,28,100,1.01,SA,1657671240
saint-georges,12.0564,-61.7485,26.84,83,100,6.63,GD,1657671241
kodiak,57.79,-152.4072,12.73,88,100,1.54,US,1657671241
prince rupert,54.3161,-130.3201,11.05,100,100,3.09,CA,1657671241
warrnambool,-38.3833,142.4833,12.12,65,42,5.86,AU,1657671241
waingapu,-9.6567,120.2641,24.43,66,87,6.48,ID,1657671241
saskylakh,71.9167,114.0833,7.32,63,100,6.0,RU,1657671142
bathsheba,13.2167,-59.5167,28.34,85,40,8.23,BB,1657671241
vestmanna,62.1564,-7.1664,9.51,93,100,5.66,FO,1657671241
cape town,-33.9258,18.4232,12.99,91,0,1.34,ZA,1657670783
semnan,35.5729,53.3971,24.32,23,0,2.66,IR,1657671075
havoysund,70.9963,24.6622,18.13,66,35,5.36,NO,1657671242
mar del plata,-38.0023,-57.5575,8.26,68,72,5.36,AR,1657671000
luknovo,56.1983,42.04,15.88,90,33,1.49,RU,1657670960
khatanga,71.9667,102.5,3.36,86,100,4.94,RU,1657671242
tura,25.5198,90.2201,24.56,90,100,1.76,IN,1657671242
kavieng,-2.5744,150.7967,28.92,70,48,3.93,PG,1657671242
padang,-0.9492,100.3543,25.51,86,97,1.75,ID,1657671242
